0	Enhanced Focus Recovery
1	Advanced Focus Recovery
2	Super Focus Recovery
3	Ultra Max Focus
4	Epic Max Focus
5	Carry 12 Items
6	Carry 14 Items
7	Carry 16 Items
8	Carry 18 Items
9	Carry 20 Items
10	Carry 22 Items
11	Carry 24 Items
12	Carry 3 Weapons
13	Carry 4 Weapons
14	Carry 5 Weapons
15	Carry 6 Weapons
16	Equip 1 Accessory
17	Equip 2 Accessories
18	Equip 3 Accessories
19	Equip 4 Accessories
20	Equip 5 Accessories
21	Basic Weapon Skill
22	Intermediate Weapon Skill
23	Advanced Weapon Skill
24	Expert Weapon Skill
25	Basic Armor Skill
26	Intermediate Armor Skill
27	Advanced Armor Skill
28	Expert Armor Skill
29	Head Tracking
30	Head Lock-On
31	Shoulder Charge
32	Throw Off
33	Roundhouse Kick
34	Leg Sweep
35	Break-Away Kick
36	Rapid Evasion
37	Super Grip
38	Iron Arm
39	Unarmed Expertise 
40	Demolition Man
41	Rapid Reload
42	Head Hunter
43	Unarmed Mastery
44	Gas Rupture
45	Drum Detonation
46	Electrical Burn
47	Bike Blast
48	Canned Heat
49	Car Blast
50	Carmageddon
51	Tanker Terror
52	Eruption
53	Gushing Geyser
54	Deep Freeze
55	Rain of Steel
56	Chain Reaction
57	Heavy Metal
58	Rain of Fire
59	Fiery Hail
60	Meathead Strike
61	Monkey Boy Strike
62	Hermit Strike
63	Diptera Strike
64	Ultimate Meathead Strike
65	Ultimate Monkey Boy Strike
66	Ultimate Hermit Strike
67	Ultimate Diptera Strike
68	Counter Cocktail
