# file	name	slots	available	excluded	stock (id:price,...)
shop0004.bin	Poppo Tenkaichi St.	35	yes	yes	11:250,12:850,49:420,50:180,51:190,52:200,53:600,55:250,56:230,57:460,58:130,59:130,61:1100,79:259,80:141,69:200,63:270,64:3500,73:147,72:120,76:147,75:110,94:198,95:198,98:198,99:158,103:158,104:158,105:158,111:176,586:530,584:100,66:498,590:120,596:300
shop0005.bin	Poppo Nakamichi St.	31	yes	no	11:250,12:850,49:420,50:180,51:190,52:200,53:600,55:250,56:230,57:460,58:130,59:130,61:1100,69:200,64:3500,73:147,72:120,76:147,75:110,94:198,95:198,96:198,97:198,106:176,107:176,108:218,109:228,110:228,584:100,596:300,597:350
shop0006.bin	Poppo Showa St.	37	yes	no	11:250,12:850,49:420,50:180,51:190,52:200,53:600,55:250,57:460,58:130,59:130,61:1100,62:130,69:200,64:3500,73:147,72:120,76:147,75:110,94:198,97:198,101:158,102:158,103:158,104:158,100:158,106:176,107:176,109:228,111:176,590:120,584:100,597:350,596:300,579:1100,585:200,586:530
shop0007.bin	M Store	33	yes	no	67:400,11:250,12:850,49:420,50:180,51:190,52:200,53:600,54:780,55:250,57:460,58:130,60:140,61:1100,79:259,80:141,62:130,69:200,64:3500,73:147,72:120,76:147,75:110,94:198,95:198,96:198,97:198,98:198,102:158,103:158,104:158,105:158,596:300
shop0008.bin	Hostess Drink Menu	0	no	no	
shop0009.bin	Hostess Food Menu	0	no	no	
shop0010.bin	Kotobuki Drugs	13	yes	no	69:200,15:1200,16:3400,17:12000,11:250,12:850,13:2500,6:650,7:2200,8:7300,488:1000,849:450,10:310
shop0011.bin	Ebisu Pawn Kamurocho	13	yes	no	852:29800,853:22000,828:300,844:64000,779:48000,38:100000,39:13000,40:1000,578:7000,907:1580,908:2980,909:2900,970:47800
shop0012.bin	Don Quijote	50	yes	no	70:89,71:89,72:89,73:97,74:158,75:89,76:97,77:97,78:156,79:208,80:118,81:105,94:178,95:178,96:178,97:178,98:178,99:148,100:148,101:148,102:148,106:158,107:158,108:208,337:3129,338:2079,69:200,810:3980,797:2000,846:980,580:698,592:398,579:1100,377:18000,378:18000,379:18000,380:18000,381:18000,382:20000,399:20000,400:20000,401:20000,402:20000,383:12000,403:12000,384:18000,404:18000,405:18000,406:18000,407:18000
shop0014.bin	Le Marche	55	yes	no	339:120000,337:5775,338:4095,340:5800,341:6500,342:5800,343:6500,344:15000,345:23800,346:28500,347:22800,348:98000,349:87000,350:285000,351:1480,352:14800,353:2500000,354:800000,355:350000,356:120000,357:70000,358:150000,359:250000,360:450000,361:800000,362:30000,363:30000,364:30000,365:30000,366:30000,410:30000,411:30000,412:14000,413:14000,414:14000,415:14000,416:14000,417:14000,418:14000,419:12000,420:12000,421:12000,422:12000,423:12000,424:12000,425:12000,389:18000,390:24000,391:32000,394:12000,393:38000,392:960000,395:48000,396:680000,397:1560000
shop0015.bin	Le Marche (date)	0	no	no	
